name : hotspot_1,1,0,
name : hotspot_2,1,1,
name : hotspot_3,1,1,
name : hotspot_4,1,1,
name : hotspot_5,2,1,
name : hotspot_6,1,1,
name : hotspot_7,1,1,
name : hotspot_8,1,1,
name : hotspot_9,1,1,
name : hotspot_10,1,1,
name : hotspot_11,2,1,
name : hotspot_12,1,1,
name : hotspot_13,2,1,
name : hotspot_14,1,3,
name : hotspot_15,1,2,
name : hotspot_16,1,1,
name : hotspot_17,1,1,
name : hotspot_18,2,1,
name : hotspot_19,2,2,
name : hotspot_20,1,2,
name : hotspot_21,1,0,
name : hotspot_22,1,1,
name : hotspot_23,1,3,
name : hotspot_24,1,1,
name : hotspot_25,1,1,
name : hotspot_26,2,1,
name : hotspot_27,2,2,
name : hotspot_28,1,1,
name : hotspot_29,1,1,
name : hotspot_30,1,2,
name : hotspot_31,1,1,
name : hotspot_32,2,0,
name : hotspot_33,2,3,
name : hotspot_34,2,3,
name : hotspot_35,1,1,
name : hotspot_36,1,2,
name : hotspot_37,1,3,
name : hotspot_38,1,1,
name : hotspot_39,1,1,
name : hotspot_40,1,1,
name : hotspot_41,1,1,
name : hotspot_42,1,1,
name : hotspot_43,1,1,
name : hotspot_44,1,1,
